Wavenumber,ImaginaryRefractiveIndex
7691.42153096976,4.889995623936e-05
7690.93940111053,4.879982602368e-05
7690.4572712513,4.879982602368e-05
7689.97514139207,4.889995623936e-05
7689.49301153285,4.900008645504e-05
7689.01088167362,4.900008645504e-05
7688.52875181439,4.900008645504e-05
7688.04662195516,4.900008645504e-05
7687.56449209593,4.889995623936e-05
7687.08236223671,4.879982602368e-05
7686.60023237748,4.870020151616e-05
7686.11810251825,4.879982602368e-05
7685.63597265902,4.889995623936e-05
7685.15384279979,4.910021667072e-05
7684.67171294056,4.919984117824e-05
7684.18958308133,4.910021667072e-05
7683.70745322211,4.900008645504e-05
7683.22532336288,4.900008645504e-05
7682.74319350365,4.910021667072e-05
7682.26106364442,4.900008645504e-05
7681.77893378519,4.900008645504e-05
7681.29680392596,4.900008645504e-05
7680.81467406674,4.910021667072e-05
7680.33254420751,4.929997139392e-05
7679.85041434828,4.94001016096e-05
7679.36828448905,4.94001016096e-05
7678.88615462982,4.929997139392e-05
7678.40402477059,4.919984117824e-05
7677.92189491137,4.919984117824e-05
7677.43976505214,4.929997139392e-05
7676.95763519291,4.919984117824e-05
7676.47550533368,4.919984117824e-05
7675.99337547445,4.910021667072e-05
7675.51124561522,4.900008645504e-05
7675.029115756,4.900008645504e-05
7674.54698589677,4.889995623936e-05
7674.06485603754,4.889995623936e-05
7673.58272617831,4.889995623936e-05
7673.10059631908,4.889995623936e-05
7672.61846645985,4.889995623936e-05
7672.13633660063,4.889995623936e-05
7671.6542067414,4.889995623936e-05
7671.17207688217,4.889995623936e-05
7670.68994702294,4.900008645504e-05
7670.20781716371,4.910021667072e-05
7669.72568730448,4.900008645504e-05
7669.24355744526,4.900008645504e-05
7668.76142758603,4.900008645504e-05
7668.2792977268,4.910021667072e-05
7667.79716786757,4.910021667072e-05
7667.31503800834,4.919984117824e-05
7666.83290814911,4.919984117824e-05
7666.35077828989,4.919984117824e-05
7665.86864843066,4.919984117824e-05
7665.38651857143,4.919984117824e-05
7664.9043887122,4.900008645504e-05
7664.42225885297,4.879982602368e-05
7663.94012899374,4.870020151616e-05
7663.45799913452,4.860007130048e-05
7662.97586927529,4.860007130048e-05
7662.49373941606,4.860007130048e-05
7662.01160955683,4.860007130048e-05
7661.5294796976,4.870020151616e-05
7661.04734983837,4.879982602368e-05
7660.56521997914,4.889995623936e-05
7660.08309011992,4.900008645504e-05
7659.60096026069,4.910021667072e-05
7659.11883040146,4.919984117824e-05
7658.63670054223,4.929997139392e-05
7658.154570683,4.919984117824e-05
7657.67244082378,4.910021667072e-05
7657.19031096455,4.889995623936e-05
7656.70818110532,4.889995623936e-05
7656.22605124609,4.889995623936e-05
7655.74392138686,4.889995623936e-05
7655.26179152763,4.879982602368e-05
7654.7796616684,4.870020151616e-05
7654.29753180918,4.870020151616e-05
7653.81540194995,4.870020151616e-05
7653.33327209072,4.870020151616e-05
7652.85114223149,4.879982602368e-05
7652.36901237226,4.889995623936e-05
7651.88688251303,4.900008645504e-05
7651.40475265381,4.900008645504e-05
7650.92262279458,4.889995623936e-05
7650.44049293535,4.860007130048e-05
7649.95836307612,4.839981086912e-05
7649.47623321689,4.839981086912e-05
7648.99410335766,4.860007130048e-05
7648.51197349844,4.879982602368e-05
7648.02984363921,4.900008645504e-05
7647.54771377998,4.900008645504e-05
7647.06558392075,4.879982602368e-05
7646.58345406152,4.860007130048e-05
7646.10132420229,4.839981086912e-05
7645.61919434307,4.83001863616e-05
7645.13706448384,4.83001863616e-05
7644.65493462461,4.839981086912e-05
7644.17280476538,4.839981086912e-05
7643.69067490615,4.839981086912e-05
7643.20854504692,4.839981086912e-05
7642.7264151877,4.839981086912e-05
7642.24428532847,4.84999410848e-05
7641.76215546924,4.84999410848e-05
7641.28002561001,4.839981086912e-05
7640.79789575078,4.820005614592e-05
7640.31576589155,4.809992593024e-05
7639.83363603233,4.809992593024e-05
7639.3515061731,4.820005614592e-05
7638.86937631387,4.820005614592e-05
7638.38724645464,4.83001863616e-05
7637.90511659541,4.820005614592e-05
7637.42298673618,4.809992593024e-05
7636.94085687695,4.799979571456e-05
7636.45872701773,4.790017120704e-05
7635.9765971585,4.790017120704e-05
7635.49446729927,4.799979571456e-05
7635.01233744004,4.809992593024e-05
7634.53020758081,4.799979571456e-05
7634.04807772159,4.799979571456e-05
7633.56594786236,4.799979571456e-05
7633.08381800313,4.799979571456e-05
7632.6016881439,4.799979571456e-05
7632.11955828467,4.809992593024e-05
7631.63742842544,4.820005614592e-05
7631.15529856621,4.83001863616e-05
7630.67316870699,4.839981086912e-05
7630.19103884776,4.839981086912e-05
7629.70890898853,4.839981086912e-05
7629.2267791293,4.83001863616e-05
7628.74464927007,4.83001863616e-05
7628.26251941085,4.839981086912e-05
7627.78038955162,4.839981086912e-05
7627.29825969239,4.84999410848e-05
7626.81612983316,4.860007130048e-05
7626.33399997393,4.860007130048e-05
7625.8518701147,4.84999410848e-05
7625.36974025547,4.83001863616e-05
7624.88761039625,4.83001863616e-05
7624.40548053702,4.83001863616e-05
7623.92335067779,4.839981086912e-05
7623.44122081856,4.839981086912e-05
7622.95909095933,4.83001863616e-05
7622.4769611001,4.83001863616e-05
7621.99483124088,4.839981086912e-05
7621.51270138165,4.839981086912e-05
7621.03057152242,4.839981086912e-05
7620.54844166319,4.83001863616e-05
7620.06631180396,4.83001863616e-05
7619.58418194473,4.839981086912e-05
7619.10205208551,4.84999410848e-05
7618.61992222628,4.860007130048e-05
7618.13779236705,4.84999410848e-05
7617.65566250782,4.84999410848e-05
7617.17353264859,4.839981086912e-05
7616.69140278936,4.83001863616e-05
7616.20927293014,4.83001863616e-05
7615.72714307091,4.820005614592e-05
7615.24501321168,4.809992593024e-05
7614.76288335245,4.809992593024e-05
7614.28075349322,4.820005614592e-05
7613.79862363399,4.820005614592e-05
7613.31649377477,4.83001863616e-05
7612.83436391554,4.839981086912e-05
7612.35223405631,4.860007130048e-05
7611.87010419708,4.879982602368e-05
7611.38797433785,4.889995623936e-05
7610.90584447862,4.889995623936e-05
7610.4237146194,4.870020151616e-05
7609.94158476017,4.84999410848e-05
7609.45945490094,4.839981086912e-05
7608.97732504171,4.83001863616e-05
7608.49519518248,4.820005614592e-05
7608.01306532325,4.820005614592e-05
7607.53093546402,4.820005614592e-05
7607.0488056048,4.83001863616e-05
